# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
9.40836178,-4.44924147,6.78769485,2.78231007,0.00081274,6.00000000,6.00000000
9.50845074,-4.54294112,6.82288259,2.78238708,0.00072319,6.00000000,6.00000000
9.60853969,-4.63664332,6.85806352,2.78245484,0.00061784,6.00000000,6.00000000
9.70862865,-4.73034773,6.89323857,2.78251076,0.00048784,6.00000000,6.00000000
9.80871760,-4.82405387,6.92840901,2.78255249,0.00034399,6.00000000,6.00000000
9.90880656,-4.91776120,6.96357623,2.78257962,0.00019813,6.00000000,6.00000000
10.00889551,-5.01146924,6.99874159,2.78259215,0.00005300,6.00000000,6.00000000
10.10898447,-5.10517746,7.03390646,2.78259023,-0.00006980,6.00000000,6.00000000
10.20907342,-5.19888536,7.06907218,2.78257818,-0.00012674,6.00000000,6.00000000
10.30916238,-5.29259273,7.10423931,2.78256486,-0.00011478,6.00000000,6.00000000
10.40925133,-5.38629970,7.13940753,2.78255520,-0.00007694,6.00000000,6.00000000
10.50934029,-5.48000639,7.17457647,2.78254946,-0.00003785,6.00000000,6.00000000
10.60942924,-5.57371295,7.20974577,2.78254763,-0.00000002,6.00000000,6.00000000
10.70951820,-5.66741952,7.24491505,2.78254945,0.00002733,6.00000000,6.00000000
10.80960715,-5.76112621,7.28008400,2.78255310,0.00003430,6.00000000,6.00000000
10.90969611,-5.85483303,7.31525260,2.78255632,0.00002700,6.00000000,6.00000000
11.00978506,-5.94853995,7.35042095,2.78255850,0.00001653,6.00000000,6.00000000
11.10987402,-6.04224692,7.38558914,2.78255963,0.00000607,6.00000000,6.00000000
11.20996297,-6.13595392,7.42075728,2.78255971,-0.00000337,6.00000000,6.00000000
11.31005193,-6.22966090,7.45592545,2.78255896,-0.00000872,6.00000000,6.00000000
11.41014088,-6.32336784,7.49109373,2.78255797,-0.00000870,6.00000000,6.00000000
11.51022984,-6.41707476,7.52626209,2.78255722,-0.00000614,6.00000000,6.00000000
11.61031879,-6.51078165,7.56143051,2.78255674,-0.00000334,6.00000000,6.00000000
11.71040775,-6.60448852,7.59659896,2.78255655,-0.00000057,6.00000000,6.00000000
11.81049670,-6.69819540,7.63176742,2.78255663,0.00000164,6.00000000,6.00000000
11.91058566,-6.79190228,7.66693585,2.78255688,0.00000247,6.00000000,6.00000000
12.01067461,-6.88560918,7.70210426,2.78255712,0.00000210,6.00000000,6.00000000
12.11076357,-6.97931608,7.73727265,2.78255730,0.00000135,6.00000000,6.00000000
12.21085252,-7.07302299,7.77244103,2.78255739,0.00000060,6.00000000,6.00000000
12.31094148,-7.16672989,7.80760940,2.78255742,-0.00000011,6.00000000,6.00000000
12.41103043,-7.26043680,7.84277777,2.78255737,-0.00000058,6.00000000,6.00000000
12.51111939,-7.35414371,7.87794615,2.78255730,-0.00000065,6.00000000,6.00000000
12.61120834,-7.44785061,7.91311453,2.78255724,-0.00000049,6.00000000,6.00000000
12.71129730,-7.54155751,7.94828292,2.78255720,-0.00000028,6.00000000,6.00000000
